theme,var,beta,se,p,or
socioeconomic status,svi_ses,0.13524744441526274,0.003706924115809981,6.162816119165019e-243,1.144820028628827
household characteristics,svi_hhchar,0.08019662687181817,0.004407991655699733,2.285113927974345e-70,1.0835000919648201
racial/ethnic minority status,svi_minority,0.24581343515755427,0.0041549280990128105,0,1.2786609980998833
housing type & transportation,svi_housing,0.09577268730990697,0.004705002003458377,1.4219261533837144e-86,1.1005088759265367
