stratum,n,mean_share,cv,beta_svi,se_svi,p_svi,beta_acad,p_acad
White NH 65-84,3106,0.14165513174113514,0.16804772262474785,0.03272792093663484,0.003116274523395213,2.2391635508717965e-25,-0.01479536836527369,1.9103710212888275e-11
Black NH 65-84,1533,0.24528819419607098,0.14968402306969755,0.03332805027648888,0.0052278355330867875,2.416805765654948e-10,-0.0148111956659329,8.288303969736313e-6
Hispanic 65-84,1441,0.23422427011766134,0.16008414867940715,0.03496955930310476,0.005240688651940852,3.578085045158731e-11,-0.023014906050672246,2.0856332050884634e-15
White NH 40-64,3096,0.15013043033828022,0.16851934854299144,0.0349104952639766,0.003101215668200774,7.733707998868897e-29,-0.014294434163352325,6.217382975974837e-11
