age,n,mean_share,beta_svi,se,p,or_svi
40-64 years,3111,20.341675930453018,0.14990469254934657,0.0039332671956040345,4.797300623232366e-261,1.1617235165451258
65-84 years,3118,18.002560652692917,0.14198810054025637,0.003952685786275818,1.0863639079954532e-236,1.1525629335791747
