model,term,beta,se,p
A: academic only,z_acad,-0.02355551060064132,0.0023817355891536805,9.912173145676822e-23
S: general supply only,z_supply,0.028542172409408432,0.007118581727620734,6.226839687305737e-5
B: both,z_acad,-0.02252683495251022,0.0024431691798022822,5.3101796026715075e-20
B: both,z_supply,0.01355323367581698,0.007227768039733555,0.060864085838531624
