stratum,n,beta_svi,se,p,beta_acad,p_acad
"Black, non-Hispanic 40-64 years",1799,0.03715047777713407,0.004942156799634567,8.803206556162294e-14,-0.014306106866220481,1.1485953009322087e-6
"Black, non-Hispanic 65-84 years",1533,0.03541700827040582,0.0055555093314976255,2.4168057656548384e-10,-0.014281636149296674,8.288303969736181e-6
"Hispanic, any race 40-64 years",2060,0.046299217973539614,0.004344599327491483,7.584597143508968e-26,-0.01991809205498898,1.6987757795770792e-19
"Hispanic, any race 65-84 years",1441,0.03700086877985566,0.005545109432057554,3.578085045158796e-11,-0.020395209171613672,2.0856332050885095e-15
"White, non-Hispanic 40-64 years",3096,0.03419857340096721,0.0030379732759228954,7.733707998868729e-29,-0.015389576255778836,6.217382975976066e-11
"White, non-Hispanic 65-84 years",3106,0.03201145239993071,0.0030480540992482512,2.2391635508714563e-25,-0.01595458402072304,1.9103710212887283e-11
