fips,state,mcr_benes,mcr_avg_age,dual_pct,imaging_p1k,em_p1k,tests_p1k,uninsured,mammography,flu_vax,prevent_hosp,chr_diabetes,pcp_ratio,median_income,pct_rural,long_commute,broadband,state_abb,medicaid_expansion
01059,Alabama,7032,72,0.2564,4469.0265,12803.0341,6740.3287,0.1640038873,0.34,0.4,8158,0.144,4.463859e-4,44874,0.7036651527,0.383,0.6194786387,AL,no
01061,Alabama,7279,72,0.2068,4066.7434,12727.2727,6267.5489,0.1419357944,0.37,0.45,5955,0.193,3.040207e-4,43089,0.8964165733,0.404,0.6713859193,AL,no
01063,Alabama,2404,68,0.4092,3590.7753,10933.2679,5356.2316,0.1168851935,0.29,0.32,6410,0.218,4.858496e-4,28699,1,0.421,0.5133852931,AL,no
01065,Alabama,4194,68,0.392,4085.0502,11286.318,5307.4485,0.1136188106,0.31,0.34,6585,0.178,2.037213e-4,40745,0.8916878173,0.525,0.6152212389,AL,no
01067,Alabama,5188,72,0.1866,4293.5401,13561.2403,7348.8372,0.1387537994,0.44,0.41,4344,0.163,2.905456e-4,48597,0.8775286094,0.369,0.7512820513,AL,no
01069,Alabama,25909,72,0.168,4465.6343,14345.2866,7311.0568,0.1272395097,0.42,0.44,4703,0.164,8.976146e-4,50138,0.3380405133,0.256,0.7492304953,AL,no
01071,Alabama,13999,72,0.1765,4164.2285,12189.0698,6323.2128,0.133098798,0.44,0.44,5480,0.16,5.412092e-4,44322,0.7701730325,0.405,0.7092534429,AL,no
01073,Alabama,139164,71,0.1428,4355.6145,13977.4695,6047.5697,0.1112586554,0.42,0.47,4558,0.127,0.0010875171,54127,0.0983376515,0.337,0.7944462947,AL,no
01075,Alabama,3987,71,0.2283,4168.4848,11547.0707,5884.0404,0.1192300505,0.38,0.43,5917,0.216,NA,42686,1,0.44,0.6294398907,AL,no
01077,Alabama,23665,72,0.153,4069.6627,13433.6935,6080.5501,0.1170476415,0.4,0.51,5141,0.146,4.979055e-4,48188,0.4929510619,0.313,0.7227262094,AL,no
01079,Alabama,8356,71,0.1918,4422.4028,12254.5085,5624.3332,0.1389576303,0.38,0.4,6273,0.22,1.517128e-4,47797,0.9128978712,0.499,0.6203360417,AL,no
01081,Alabama,27482,71,0.1478,3752.5111,12321.1757,4866.9521,0.1053490987,0.36,0.45,4517,0.103,5.123795e-4,54160,0.2740949896,0.29,0.8203263775,AL,no
01083,Alabama,20133,72,0.1168,4502.0061,13602.4073,5119.5812,0.1094920006,0.43,0.48,5178,0.128,3.639237e-4,64729,0.5760914208,0.428,0.8011386616,AL,no
01085,Alabama,3085,69,0.249,3800,10832.2581,5616.7742,0.1170534813,0.4,0.38,6720,0.17,1.002607e-4,33930,1,0.602,0.5255234063,AL,no
01087,Alabama,4815,70,0.2243,3422.6153,11490.2085,4709.4125,0.1160096416,0.35,0.34,5535,0.168,3.796301e-4,34281,0.5554726832,0.387,0.6020872358,AL,no
01089,Alabama,73077,73,0.09,4569.2324,14102.7777,5817.1235,0.0949232159,0.47,0.47,4610,0.131,8.894491e-4,68609,0.16441514769999999,0.271,0.8639305212,AL,no
01091,Alabama,5650,69,0.3042,3990.0442,10951.3274,5956.8584,0.1063166965,0.36,0.36,4088,0.184,4.720445e-4,38838,0.6931564179,0.298,0.5970656161,AL,no
01093,Alabama,7773,71,0.2515,4322.9077,11332.3986,5860.6557,0.1308403068,0.37,0.39,7801,0.188,3.359876e-4,44675,0.8885495191,0.283,0.6558306243,AL,no
01095,Alabama,21993,72,0.1884,4505.1975,12484.2267,5358.0403,0.1443346124,0.37,0.49,5907,0.117,5.722669e-4,48913,0.5326868704,0.327,0.7945704211,AL,no
01097,Alabama,90250,71,0.1579,4780.3673,14698.2559,7068.9921,0.1311926929,0.37,0.42,6275,0.147,6.622244e-4,49492,0.2002024252,0.366,0.7462032243,AL,no
01099,Alabama,5545,71,0.2242,3804.7772,10611.3918,5762.9766,0.1368007257,0.4,0.36,5179,0.226,4.272084e-4,40005,0.790445639,0.319,0.3978692138,AL,no
