fips,race,age,dr_cases,vtdr_cases,dm_pop
55129,"White, non-Hispanic",40-64 years,201,30,714
55131,"White, non-Hispanic",40-64 years,1349,229,5704
55133,"White, non-Hispanic",40-64 years,3837,458,13322
55135,"White, non-Hispanic",40-64 years,652,92,2318
55137,"White, non-Hispanic",40-64 years,283,43,1135
55139,"White, non-Hispanic",40-64 years,1740,248,6140
55141,"White, non-Hispanic",40-64 years,685,107,2781
56001,"White, non-Hispanic",40-64 years,238,41,843
56003,"White, non-Hispanic",40-64 years,110,16,402
56005,"White, non-Hispanic",40-64 years,369,58,1606
56007,"White, non-Hispanic",40-64 years,130,25,479
56009,"White, non-Hispanic",40-64 years,120,16,489
56011,"White, non-Hispanic",40-64 years,57,9,270
56013,"White, non-Hispanic",40-64 years,362,63,1198
56015,"White, non-Hispanic",40-64 years,97,14,446
56017,"White, non-Hispanic",40-64 years,40,8,156
56019,"White, non-Hispanic",40-64 years,62,8,288
56021,"White, non-Hispanic",40-64 years,731,121,3157
56023,"White, non-Hispanic",40-64 years,187,24,721
56025,"White, non-Hispanic",40-64 years,827,114,2773
56027,"White, non-Hispanic",40-64 years,20,3,87
56029,"White, non-Hispanic",40-64 years,241,38,956
56031,"White, non-Hispanic",40-64 years,62,9,313
56033,"White, non-Hispanic",40-64 years,210,32,1053
56035,"White, non-Hispanic",40-64 years,78,8,303
56037,"White, non-Hispanic",40-64 years,261,40,1416
56039,"White, non-Hispanic",40-64 years,221,14,607
56041,"White, non-Hispanic",40-64 years,153,27,704
56043,"White, non-Hispanic",40-64 years,48,8,268
56045,"White, non-Hispanic",40-64 years,67,10,267
01001,"White, non-Hispanic",65-84 years,593,54,1867
01003,"White, non-Hispanic",65-84 years,2179,318,10230
01005,"White, non-Hispanic",65-84 years,295,48,931
01007,"White, non-Hispanic",65-84 years,292,32,819
01009,"White, non-Hispanic",65-84 years,582,70,2472
01011,"White, non-Hispanic",65-84 years,48,9,210
01013,"White, non-Hispanic",65-84 years,185,28,726
01015,"White, non-Hispanic",65-84 years,1202,172,4521
01017,"White, non-Hispanic",65-84 years,293,41,1339
01019,"White, non-Hispanic",65-84 years,297,32,1371
01021,"White, non-Hispanic",65-84 years,474,66,1744
01023,"White, non-Hispanic",65-84 years,128,24,532
01025,"White, non-Hispanic",65-84 years,193,34,880
01027,"White, non-Hispanic",65-84 years,186,24,630
01029,"White, non-Hispanic",65-84 years,180,29,664
01031,"White, non-Hispanic",65-84 years,524,62,1789
01033,"White, non-Hispanic",65-84 years,498,59,2500
01035,"White, non-Hispanic",65-84 years,102,15,521
01037,"White, non-Hispanic",65-84 years,128,16,541
01039,"White, non-Hispanic",65-84 years,413,46,1670
01041,"White, non-Hispanic",65-84 years,142,18,532
01043,"White, non-Hispanic",65-84 years,886,112,3895
01045,"White, non-Hispanic",65-84 years,464,61,1823
01047,"White, non-Hispanic",65-84 years,321,49,1002
01049,"White, non-Hispanic",65-84 years,670,87,3041
01051,"White, non-Hispanic",65-84 years,663,81,3109
01053,"White, non-Hispanic",65-84 years,284,45,1333
01055,"White, non-Hispanic",65-84 years,1074,113,4399
01057,"White, non-Hispanic",65-84 years,149,24,799
01059,"White, non-Hispanic",65-84 years,378,32,1248
01061,"White, non-Hispanic",65-84 years,258,39,1251
01063,"White, non-Hispanic",65-84 years,50,8,176
01065,"White, non-Hispanic",65-84 years,114,18,462
01067,"White, non-Hispanic",65-84 years,242,33,812
01069,"White, non-Hispanic",65-84 years,930,144,3837
01071,"White, non-Hispanic",65-84 years,678,91,2504
01073,"White, non-Hispanic",65-84 years,3748,533,16465
01075,"White, non-Hispanic",65-84 years,143,23,698
01077,"White, non-Hispanic",65-84 years,823,99,4174
01079,"White, non-Hispanic",65-84 years,260,36,1392
01081,"White, non-Hispanic",65-84 years,1163,155,4568
01083,"White, non-Hispanic",65-84 years,746,111,3540
01085,"White, non-Hispanic",65-84 years,70,10,252
01087,"White, non-Hispanic",65-84 years,79,12,302
01089,"White, non-Hispanic",65-84 years,2476,359,10470
01091,"White, non-Hispanic",65-84 years,185,22,623
01093,"White, non-Hispanic",65-84 years,312,34,1436
01095,"White, non-Hispanic",65-84 years,852,121,4066
01097,"White, non-Hispanic",65-84 years,3324,503,12659
01099,"White, non-Hispanic",65-84 years,215,25,740
01101,"White, non-Hispanic",65-84 years,1269,170,5055
01103,"White, non-Hispanic",65-84 years,908,123,4958
01105,"White, non-Hispanic",65-84 years,87,10,250
01107,"White, non-Hispanic",65-84 years,186,30,713
01109,"White, non-Hispanic",65-84 years,324,33,1001
01111,"White, non-Hispanic",65-84 years,209,30,1010
01113,"White, non-Hispanic",65-84 years,309,45,1577
01115,"White, non-Hispanic",65-84 years,765,123,3545
01117,"White, non-Hispanic",65-84 years,1348,201,6440
01119,"White, non-Hispanic",65-84 years,88,11,276
01121,"White, non-Hispanic",65-84 years,715,117,3053
01123,"White, non-Hispanic",65-84 years,461,70,1954
01125,"White, non-Hispanic",65-84 years,1335,211,5899
01127,"White, non-Hispanic",65-84 years,576,74,3053
01129,"White, non-Hispanic",65-84 years,168,31,611
01131,"White, non-Hispanic",65-84 years,87,12,334
01133,"White, non-Hispanic",65-84 years,360,51,1291
02020,"White, non-Hispanic",65-84 years,1208,196,5141
02050,"White, non-Hispanic",65-84 years,13,2,64
02068,"White, non-Hispanic",65-84 years,10,1,37
02090,"White, non-Hispanic",65-84 years,539,84,1615
02100,"White, non-Hispanic",65-84 years,17,3,68
02105,"White, non-Hispanic",65-84 years,18,3,70
02110,"White, non-Hispanic",65-84 years,141,20,629
02122,"White, non-Hispanic",65-84 years,466,66,1784
02130,"White, non-Hispanic",65-84 years,68,10,345
02150,"White, non-Hispanic",65-84 years,47,7,171
02170,"White, non-Hispanic",65-84 years,640,87,2455
02180,"White, non-Hispanic",65-84 years,9,1,45
02185,"White, non-Hispanic",65-84 years,11,2,42
02195,"White, non-Hispanic",65-84 years,31,4,117
02198,"White, non-Hispanic",65-84 years,36,5,137
02220,"White, non-Hispanic",65-84 years,41,7,183
02230,"White, non-Hispanic",65-84 years,7,1,32
02240,"White, non-Hispanic",65-84 years,42,7,160
02261,"White, non-Hispanic",65-84 years,57,8,217
02275,"White, non-Hispanic",65-84 years,20,3,77
02290,"White, non-Hispanic",65-84 years,15,2,65
04001,"White, non-Hispanic",65-84 years,433,61,1180
04003,"White, non-Hispanic",65-84 years,985,161,4964
04005,"White, non-Hispanic",65-84 years,859,121,3237
04007,"White, non-Hispanic",65-84 years,801,110,3091
04009,"White, non-Hispanic",65-84 years,211,28,898
04011,"White, non-Hispanic",65-84 years,50,6,179
04012,"White, non-Hispanic",65-84 years,346,48,1464
04013,"White, non-Hispanic",65-84 years,27384,4058,118456
04015,"White, non-Hispanic",65-84 years,2389,350,13581
04017,"White, non-Hispanic",65-84 years,1148,184,3720
04019,"White, non-Hispanic",65-84 years,7672,1143,33400
04021,"White, non-Hispanic",65-84 years,5570,819,19641
04023,"White, non-Hispanic",65-84 years,269,49,932
04025,"White, non-Hispanic",65-84 years,3382,474,14538
04027,"White, non-Hispanic",65-84 years,1445,201,6570
05001,"White, non-Hispanic",65-84 years,190,25,673
05003,"White, non-Hispanic",65-84 years,308,44,791
05005,"White, non-Hispanic",65-84 years,691,61,2533
05007,"White, non-Hispanic",65-84 years,1886,293,7959
05009,"White, non-Hispanic",65-84 years,467,39,1626
05011,"White, non-Hispanic",65-84 years,127,21,364
05013,"White, non-Hispanic",65-84 years,49,10,201
05015,"White, non-Hispanic",65-84 years,378,45,1440
05017,"White, non-Hispanic",65-84 years,125,14,354
05019,"White, non-Hispanic",65-84 years,145,28,688
05021,"White, non-Hispanic",65-84 years,183,25,688
05023,"White, non-Hispanic",65-84 years,351,42,1427
05025,"White, non-Hispanic",65-84 years,96,13,325
05027,"White, non-Hispanic",65-84 years,195,35,685
05029,"White, non-Hispanic",65-84 years,196,29,841
05031,"White, non-Hispanic",65-84 years,791,95,3144
05033,"White, non-Hispanic",65-84 years,462,80,2363
05035,"White, non-Hispanic",65-84 years,316,53,1249
05037,"White, non-Hispanic",65-84 years,215,28,640
05039,"White, non-Hispanic",65-84 years,80,15,272
05041,"White, non-Hispanic",65-84 years,105,13,356
05043,"White, non-Hispanic",65-84 years,190,33,564
05045,"White, non-Hispanic",65-84 years,1066,134,3423
05047,"White, non-Hispanic",65-84 years,170,29,725
05049,"White, non-Hispanic",65-84 years,174,21,677
05051,"White, non-Hispanic",65-84 years,1066,157,5078
05053,"White, non-Hispanic",65-84 years,209,22,672
05055,"White, non-Hispanic",65-84 years,630,53,1731
05057,"White, non-Hispanic",65-84 years,175,29,721
05059,"White, non-Hispanic",65-84 years,306,50,1384
05061,"White, non-Hispanic",65-84 years,110,17,453
05063,"White, non-Hispanic",65-84 years,426,59,1425
05065,"White, non-Hispanic",65-84 years,168,23,769
05067,"White, non-Hispanic",65-84 years,154,21,713
05069,"White, non-Hispanic",65-84 years,498,71,1851
05071,"White, non-Hispanic",65-84 years,280,29,961
05073,"White, non-Hispanic",65-84 years,61,9,304
05075,"White, non-Hispanic",65-84 years,141,16,701
05077,"White, non-Hispanic",65-84 years,64,9,289
05079,"White, non-Hispanic",65-84 years,148,20,440
05081,"White, non-Hispanic",65-84 years,131,25,503
05083,"White, non-Hispanic",65-84 years,234,32,947
05085,"White, non-Hispanic",65-84 years,597,77,2296
05087,"White, non-Hispanic",65-84 years,238,28,759
05089,"White, non-Hispanic",65-84 years,334,30,1108
05091,"White, non-Hispanic",65-84 years,398,64,1495
05093,"White, non-Hispanic",65-84 years,478,58,1237
05095,"White, non-Hispanic",65-84 years,57,8,292
05097,"White, non-Hispanic",65-84 years,89,15,501
05099,"White, non-Hispanic",65-84 years,71,10,335
05101,"White, non-Hispanic",65-84 years,148,13,460
05103,"White, non-Hispanic",65-84 years,241,36,789
05105,"White, non-Hispanic",65-84 years,129,16,453
05107,"White, non-Hispanic",65-84 years,141,26,494
05109,"White, non-Hispanic",65-84 years,119,18,460
05111,"White, non-Hispanic",65-84 years,203,26,988
05113,"White, non-Hispanic",65-84 years,277,35,988
05115,"White, non-Hispanic",65-84 years,799,65,2165
05117,"White, non-Hispanic",65-84 years,106,15,433
05119,"White, non-Hispanic",65-84 years,2663,406,10356
05121,"White, non-Hispanic",65-84 years,173,21,744
05123,"White, non-Hispanic",65-84 years,231,31,655
05125,"White, non-Hispanic",65-84 years,1578,191,4669
05127,"White, non-Hispanic",65-84 years,115,14,468
05129,"White, non-Hispanic",65-84 years,137,14,455
05131,"White, non-Hispanic",65-84 years,919,125,4263
05133,"White, non-Hispanic",65-84 years,155,27,519
05135,"White, non-Hispanic",65-84 years,252,29,995
05137,"White, non-Hispanic",65-84 years,231,33,775
05139,"White, non-Hispanic",65-84 years,294,58,1271
05141,"White, non-Hispanic",65-84 years,232,28,917
05143,"White, non-Hispanic",65-84 years,1358,215,6001
05145,"White, non-Hispanic",65-84 years,592,79,2752
05147,"White, non-Hispanic",65-84 years,77,13,311
05149,"White, non-Hispanic",65-84 years,296,29,773
06001,"White, non-Hispanic",65-84 years,6097,856,22553
06003,"White, non-Hispanic",65-84 years,16,3,54
06005,"White, non-Hispanic",65-84 years,442,59,1932
06007,"White, non-Hispanic",65-84 years,1410,200,6557
06009,"White, non-Hispanic",65-84 years,503,69,2229
06011,"White, non-Hispanic",65-84 years,153,27,500
06013,"White, non-Hispanic",65-84 years,5342,875,22644
06015,"White, non-Hispanic",65-84 years,217,38,998
06017,"White, non-Hispanic",65-84 years,1480,240,6866
06019,"White, non-Hispanic",65-84 years,3552,590,16949
06021,"White, non-Hispanic",65-84 years,208,32,822
06023,"White, non-Hispanic",65-84 years,907,144,4710
06025,"White, non-Hispanic",65-84 years,581,84,1409
06027,"White, non-Hispanic",65-84 years,139,27,735
06029,"White, non-Hispanic",65-84 years,4492,690,15536
06031,"White, non-Hispanic",65-84 years,547,78,2203
06033,"White, non-Hispanic",65-84 years,1088,120,2990
06035,"White, non-Hispanic",65-84 years,190,31,947
06037,"White, non-Hispanic",65-84 years,36457,5843,134297
06039,"White, non-Hispanic",65-84 years,1026,183,3635
06041,"White, non-Hispanic",65-84 years,1994,231,7868
06043,"White, non-Hispanic",65-84 years,174,30,885
06045,"White, non-Hispanic",65-84 years,816,152,3901
06047,"White, non-Hispanic",65-84 years,1527,237,4404
06049,"White, non-Hispanic",65-84 years,100,12,449
06051,"White, non-Hispanic",65-84 years,70,11,402
06053,"White, non-Hispanic",65-84 years,2635,468,8606
06055,"White, non-Hispanic",65-84 years,1045,181,3839
06057,"White, non-Hispanic",65-84 years,990,165,4565
06059,"White, non-Hispanic",65-84 years,15374,2188,58350
06061,"White, non-Hispanic",65-84 years,2809,427,11350
06063,"White, non-Hispanic",65-84 years,381,32,1057
06065,"White, non-Hispanic",65-84 years,11631,1995,53164
06067,"White, non-Hispanic",65-84 years,8024,1285,30424
06069,"White, non-Hispanic",65-84 years,355,60,1125
06071,"White, non-Hispanic",65-84 years,7784,1330,32570
06073,"White, non-Hispanic",65-84 years,18260,2858,64828
06075,"White, non-Hispanic",65-84 years,2457,315,10909
06077,"White, non-Hispanic",65-84 years,3181,497,12717
06079,"White, non-Hispanic",65-84 years,2927,444,9574
06081,"White, non-Hispanic",65-84 years,2810,492,12072
06083,"White, non-Hispanic",65-84 years,3258,563,9986
06085,"White, non-Hispanic",65-84 years,6777,937,24029
06087,"White, non-Hispanic",65-84 years,2424,407,7434
06089,"White, non-Hispanic",65-84 years,1264,170,6791
06091,"White, non-Hispanic",65-84 years,53,9,176
06093,"White, non-Hispanic",65-84 years,489,82,2073
06095,"White, non-Hispanic",65-84 years,2071,361,8893
06097,"White, non-Hispanic",65-84 years,3670,632,15623
06099,"White, non-Hispanic",65-84 years,2869,484,11251
06101,"White, non-Hispanic",65-84 years,507,78,2173
06103,"White, non-Hispanic",65-84 years,888,107,2438
06105,"White, non-Hispanic",65-84 years,158,24,846
06107,"White, non-Hispanic",65-84 years,1920,341,7772
06109,"White, non-Hispanic",65-84 years,514,92,2670
06111,"White, non-Hispanic",65-84 years,5397,947,19168
06113,"White, non-Hispanic",65-84 years,1055,179,3767
06115,"White, non-Hispanic",65-84 years,429,72,1841
08001,"White, non-Hispanic",65-84 years,2172,328,7157
08003,"White, non-Hispanic",65-84 years,101,13,322
08005,"White, non-Hispanic",65-84 years,3381,524,12867
08007,"White, non-Hispanic",65-84 years,131,22,607
08009,"White, non-Hispanic",65-84 years,37,6,154
08011,"White, non-Hispanic",65-84 years,54,11,201
08013,"White, non-Hispanic",65-84 years,2599,408,8459
08014,"White, non-Hispanic",65-84 years,576,63,1768
08015,"White, non-Hispanic",65-84 years,170,26,823
08017,"White, non-Hispanic",65-84 years,18,2,66
08019,"White, non-Hispanic",65-84 years,82,11,330
08021,"White, non-Hispanic",65-84 years,55,8,172
08023,"White, non-Hispanic",65-84 years,29,4,112
08025,"White, non-Hispanic",65-84 years,42,9,168
08027,"White, non-Hispanic",65-84 years,73,8,285
08029,"White, non-Hispanic",65-84 years,370,65,1489
08031,"White, non-Hispanic",65-84 years,2433,405,10215
08033,"White, non-Hispanic",65-84 years,37,5,117
08035,"White, non-Hispanic",65-84 years,1595,276,6344
08037,"White, non-Hispanic",65-84 years,268,49,1159
08039,"White, non-Hispanic",65-84 years,193,28,767
08041,"White, non-Hispanic",65-84 years,3809,563,15000
08043,"White, non-Hispanic",65-84 years,509,73,2066
08045,"White, non-Hispanic",65-84 years,306,52,1504
08047,"White, non-Hispanic",65-84 years,41,7,192
08049,"White, non-Hispanic",65-84 years,112,17,517
08051,"White, non-Hispanic",65-84 years,78,11,388
08053,"White, non-Hispanic",65-84 years,9,1,34
08055,"White, non-Hispanic",65-84 years,93,16,369
08057,"White, non-Hispanic",65-84 years,16,2,64
08059,"White, non-Hispanic",65-84 years,4438,635,16002
08061,"White, non-Hispanic",65-84 years,14,2,58
08063,"White, non-Hispanic",65-84 years,55,9,264
08065,"White, non-Hispanic",65-84 years,40,8,179
08067,"White, non-Hispanic",65-84 years,373,79,1605
08069,"White, non-Hispanic",65-84 years,2574,323,9218
08071,"White, non-Hispanic",65-84 years,108,18,562
08073,"White, non-Hispanic",65-84 years,45,5,169
08075,"White, non-Hispanic",65-84 years,203,26,699
08077,"White, non-Hispanic",65-84 years,1336,199,5344
08079,"White, non-Hispanic",65-84 years,11,1,40
08081,"White, non-Hispanic",65-84 years,92,13,401
08083,"White, non-Hispanic",65-84 years,335,59,1067
08085,"White, non-Hispanic",65-84 years,460,67,1778
08087,"White, non-Hispanic",65-84 years,267,31,769
08089,"White, non-Hispanic",65-84 years,150,26,582
08091,"White, non-Hispanic",65-84 years,67,8,219
08093,"White, non-Hispanic",65-84 years,175,24,675
08095,"White, non-Hispanic",65-84 years,52,5,154
08097,"White, non-Hispanic",65-84 years,102,17,541
08099,"White, non-Hispanic",65-84 years,89,14,368
08101,"White, non-Hispanic",65-84 years,966,160,4821
08103,"White, non-Hispanic",65-84 years,69,12,204
08105,"White, non-Hispanic",65-84 years,123,17,386
08107,"White, non-Hispanic",65-84 years,184,26,670
08109,"White, non-Hispanic",65-84 years,99,15,295
08113,"White, non-Hispanic",65-84 years,63,9,213
08115,"White, non-Hispanic",65-84 years,35,5,117
08117,"White, non-Hispanic",65-84 years,129,23,731
08119,"White, non-Hispanic",65-84 years,255,37,983
08121,"White, non-Hispanic",65-84 years,65,7,192
08123,"White, non-Hispanic",65-84 years,2037,257,6344
08125,"White, non-Hispanic",65-84 years,92,12,329
09001,"White, non-Hispanic",65-84 years,6571,931,21909
09003,"White, non-Hispanic",65-84 years,8098,1075,23992
09005,"White, non-Hispanic",65-84 years,1936,317,7119
09007,"White, non-Hispanic",65-84 years,1652,183,5843
09009,"White, non-Hispanic",65-84 years,6773,1011,25330
09011,"White, non-Hispanic",65-84 years,3301,507,8954
09013,"White, non-Hispanic",65-84 years,1454,187,4590
09015,"White, non-Hispanic",65-84 years,1427,167,4206
10001,"White, non-Hispanic",65-84 years,1422,217,5707
10003,"White, non-Hispanic",65-84 years,3593,582,13842
10005,"White, non-Hispanic",65-84 years,4046,666,15907
12001,"White, non-Hispanic",65-84 years,1822,266,7210
12003,"White, non-Hispanic",65-84 years,186,27,946
12005,"White, non-Hispanic",65-84 years,1416,159,6644
12007,"White, non-Hispanic",65-84 years,272,47,1169
12009,"White, non-Hispanic",65-84 years,6110,833,27138
12011,"White, non-Hispanic",65-84 years,10595,1646,41573
12013,"White, non-Hispanic",65-84 years,115,19,576
12015,"White, non-Hispanic",65-84 years,3451,508,14679
12017,"White, non-Hispanic",65-84 years,3080,357,11393
12019,"White, non-Hispanic",65-84 years,1340,230,7367
12021,"White, non-Hispanic",65-84 years,4269,754,21625
12023,"White, non-Hispanic",65-84 years,840,120,2992
12027,"White, non-Hispanic",65-84 years,642,67,1739
12029,"White, non-Hispanic",65-84 years,182,29,1022
12031,"White, non-Hispanic",65-84 years,6215,920,26021
12033,"White, non-Hispanic",65-84 years,2161,427,10595
12035,"White, non-Hispanic",65-84 years,1708,250,7257
12037,"White, non-Hispanic",65-84 years,181,26,740
12039,"White, non-Hispanic",65-84 years,400,58,1351
12041,"White, non-Hispanic",65-84 years,187,23,849
12043,"White, non-Hispanic",65-84 years,185,24,746
12045,"White, non-Hispanic",65-84 years,198,24,850
12047,"White, non-Hispanic",65-84 years,168,23,561
12049,"White, non-Hispanic",65-84 years,344,37,867
12051,"White, non-Hispanic",65-84 years,277,46,861
12053,"White, non-Hispanic",65-84 years,2222,292,10803
12055,"White, non-Hispanic",65-84 years,2649,311,7313
12057,"White, non-Hispanic",65-84 years,8069,1182,33800
12059,"White, non-Hispanic",65-84 years,184,27,875
12061,"White, non-Hispanic",65-84 years,1879,312,10332
12063,"White, non-Hispanic",65-84 years,319,51,1914
12065,"White, non-Hispanic",65-84 years,172,24,703
12067,"White, non-Hispanic",65-84 years,90,12,348
12069,"White, non-Hispanic",65-84 years,3755,517,20161
12071,"White, non-Hispanic",65-84 years,9964,1533,41767
12073,"White, non-Hispanic",65-84 years,2126,249,7321
12075,"White, non-Hispanic",65-84 years,593,82,2465
12077,"White, non-Hispanic",65-84 years,63,9,301
12079,"White, non-Hispanic",65-84 years,149,23,772
12081,"White, non-Hispanic",65-84 years,4232,658,21820
12083,"White, non-Hispanic",65-84 years,4703,815,22123
12085,"White, non-Hispanic",65-84 years,1960,235,8673
12086,"White, non-Hispanic",65-84 years,4393,649,18366
12087,"White, non-Hispanic",65-84 years,561,80,3274
12089,"White, non-Hispanic",65-84 years,889,133,4687
12091,"White, non-Hispanic",65-84 years,1203,199,6351
12093,"White, non-Hispanic",65-84 years,334,52,1745
12095,"White, non-Hispanic",65-84 years,5540,735,23225
12097,"White, non-Hispanic",65-84 years,2421,229,6612
12099,"White, non-Hispanic",65-84 years,12690,1640,53751
12101,"White, non-Hispanic",65-84 years,5844,833,25368
12103,"White, non-Hispanic",65-84 years,12193,1525,45572
12105,"White, non-Hispanic",65-84 years,9254,834,27831
12107,"White, non-Hispanic",65-84 years,825,130,4034
12109,"White, non-Hispanic",65-84 years,2420,337,10273
12111,"White, non-Hispanic",65-84 years,3104,478,14597
12113,"White, non-Hispanic",65-84 years,1090,183,5981
12115,"White, non-Hispanic",65-84 years,5358,794,28024
12117,"White, non-Hispanic",65-84 years,2501,384,12577
12119,"White, non-Hispanic",65-84 years,3530,504,17564
12121,"White, non-Hispanic",65-84 years,585,74,2212
12123,"White, non-Hispanic",65-84 years,318,30,1061
12125,"White, non-Hispanic",65-84 years,132,19,546
12127,"White, non-Hispanic",65-84 years,6037,905,27693
12129,"White, non-Hispanic",65-84 years,333,39,1250
12131,"White, non-Hispanic",65-84 years,729,141,3474
12133,"White, non-Hispanic",65-84 years,184,27,1004
13001,"White, non-Hispanic",65-84 years,207,34,749
13003,"White, non-Hispanic",65-84 years,68,14,257
13005,"White, non-Hispanic",65-84 years,105,19,430
13007,"White, non-Hispanic",65-84 years,38,4,116
13009,"White, non-Hispanic",65-84 years,260,33,1389
13011,"White, non-Hispanic",65-84 years,152,24,752
13013,"White, non-Hispanic",65-84 years,597,88,2255
13015,"White, non-Hispanic",65-84 years,917,116,3602
13017,"White, non-Hispanic",65-84 years,126,22,660
13019,"White, non-Hispanic",65-84 years,167,26,727
13021,"White, non-Hispanic",65-84 years,688,103,3553
13023,"White, non-Hispanic",65-84 years,87,12,454
13025,"White, non-Hispanic",65-84 years,204,26,736
13027,"White, non-Hispanic",65-84 years,209,25,693
13029,"White, non-Hispanic",65-84 years,230,33,899
13031,"White, non-Hispanic",65-84 years,365,55,2002
13033,"White, non-Hispanic",65-84 years,227,42,750
13035,"White, non-Hispanic",65-84 years,154,19,806
13037,"White, non-Hispanic",65-84 years,40,7,145
13039,"White, non-Hispanic",65-84 years,429,66,1663
13043,"White, non-Hispanic",65-84 years,83,13,432
13045,"White, non-Hispanic",65-84 years,1050,118,3592
13047,"White, non-Hispanic",65-84 years,569,67,2889
13049,"White, non-Hispanic",65-84 years,93,12,463
13051,"White, non-Hispanic",65-84 years,2112,349,7707
13053,"White, non-Hispanic",65-84 years,16,2,61
13055,"White, non-Hispanic",65-84 years,199,24,1136
13057,"White, non-Hispanic",65-84 years,1826,297,8572
13059,"White, non-Hispanic",65-84 years,709,111,2792
13061,"White, non-Hispanic",65-84 years,51,8,157
13063,"White, non-Hispanic",65-84 years,684,110,2450
13065,"White, non-Hispanic",65-84 years,61,12,254
13067,"White, non-Hispanic",65-84 years,3684,636,16925
13069,"White, non-Hispanic",65-84 years,286,58,1281
13071,"White, non-Hispanic",65-84 years,345,41,1542
13073,"White, non-Hispanic",65-84 years,1106,168,3671
13075,"White, non-Hispanic",65-84 years,141,22,617
13077,"White, non-Hispanic",65-84 years,947,143,4224
13079,"White, non-Hispanic",65-84 years,91,19,501
13081,"White, non-Hispanic",65-84 years,197,33,770
13083,"White, non-Hispanic",65-84 years,158,24,775
13085,"White, non-Hispanic",65-84 years,266,38,1176
13087,"White, non-Hispanic",65-84 years,229,29,919
13089,"White, non-Hispanic",65-84 years,2560,413,9399
13091,"White, non-Hispanic",65-84 years,179,23,789
13093,"White, non-Hispanic",65-84 years,99,17,473
13095,"White, non-Hispanic",65-84 years,444,67,1776
13097,"White, non-Hispanic",65-84 years,811,104,3003
13099,"White, non-Hispanic",65-84 years,104,15,388
13101,"White, non-Hispanic",65-84 years,24,4,109
13103,"White, non-Hispanic",65-84 years,333,46,1622
13105,"White, non-Hispanic",65-84 years,184,23,824
13107,"White, non-Hispanic",65-84 years,147,18,764
13109,"White, non-Hispanic",65-84 years,79,13,350
13111,"White, non-Hispanic",65-84 years,329,53,1752
13113,"White, non-Hispanic",65-84 years,916,133,3320
13115,"White, non-Hispanic",65-84 years,592,75,3507
13117,"White, non-Hispanic",65-84 years,1456,204,5607
13119,"White, non-Hispanic",65-84 years,215,33,982
13121,"White, non-Hispanic",65-84 years,4009,586,14776
13123,"White, non-Hispanic",65-84 years,328,51,1885
13125,"White, non-Hispanic",65-84 years,36,4,115
13127,"White, non-Hispanic",65-84 years,1054,118,3505
13129,"White, non-Hispanic",65-84 years,471,76,2044
13131,"White, non-Hispanic",65-84 years,217,30,1020
13133,"White, non-Hispanic",65-84 years,258,37,1243
13135,"White, non-Hispanic",65-84 years,3553,537,14584
13137,"White, non-Hispanic",65-84 years,365,53,1876
13139,"White, non-Hispanic",65-84 years,1370,187,6781
13141,"White, non-Hispanic",65-84 years,83,12,323
13143,"White, non-Hispanic",65-84 years,227,25,1103
13145,"White, non-Hispanic",65-84 years,271,37,1249
13147,"White, non-Hispanic",65-84 years,280,45,1298
13149,"White, non-Hispanic",65-84 years,122,19,444
13151,"White, non-Hispanic",65-84 years,1101,171,4170
13153,"White, non-Hispanic",65-84 years,742,112,3957
13155,"White, non-Hispanic",65-84 years,76,11,358
13157,"White, non-Hispanic",65-84 years,502,72,2312
13159,"White, non-Hispanic",65-84 years,86,12,524
13161,"White, non-Hispanic",65-84 years,161,22,546
13163,"White, non-Hispanic",65-84 years,130,17,484
13165,"White, non-Hispanic",65-84 years,73,14,297
13167,"White, non-Hispanic",65-84 years,75,11,379
13169,"White, non-Hispanic",65-84 years,169,26,923
13171,"White, non-Hispanic",65-84 years,128,21,618
13173,"White, non-Hispanic",65-84 years,69,12,325
13175,"White, non-Hispanic",65-84 years,321,44,1672
13177,"White, non-Hispanic",65-84 years,217,35,851
13179,"White, non-Hispanic",65-84 years,318,45,960
13181,"White, non-Hispanic",65-84 years,109,16,414
13183,"White, non-Hispanic",65-84 years,129,16,345
13185,"White, non-Hispanic",65-84 years,561,99,2789
13187,"White, non-Hispanic",65-84 years,252,39,1331
13189,"White, non-Hispanic",65-84 years,293,28,770
13191,"White, non-Hispanic",65-84 years,205,22,627
13193,"White, non-Hispanic",65-84 years,86,12,378
13195,"White, non-Hispanic",65-84 years,254,29,1159
13197,"White, non-Hispanic",65-84 years,81,11,326
13199,"White, non-Hispanic",65-84 years,219,41,818
13201,"White, non-Hispanic",65-84 years,74,8,256
13205,"White, non-Hispanic",65-84 years,251,40,698
13207,"White, non-Hispanic",65-84 years,188,38,1054
13209,"White, non-Hispanic",65-84 years,77,11,338
13211,"White, non-Hispanic",65-84 years,199,29,813
13213,"White, non-Hispanic",65-84 years,413,47,1512
13215,"White, non-Hispanic",65-84 years,844,126,4062
13217,"White, non-Hispanic",65-84 years,599,94,2445
13219,"White, non-Hispanic",65-84 years,235,34,1136
13221,"White, non-Hispanic",65-84 years,124,15,588
13223,"White, non-Hispanic",65-84 years,812,115,4092
13225,"White, non-Hispanic",65-84 years,174,29,850
13227,"White, non-Hispanic",65-84 years,288,48,1604
13229,"White, non-Hispanic",65-84 years,203,37,773
13231,"White, non-Hispanic",65-84 years,112,20,628
