fips,svi_overall,svi_ses,svi_hhchar,svi_minority,svi_housing
08085,0.5363,0.6283,0.612,0.6114,0.2584
08087,0.8418,0.7384,0.8215,0.8119,0.7992
08089,0.8886,0.7912,0.9615,0.8625,0.6843
08091,0.0274,0.3332,0.0188,0.1945,0.0048
08093,0.0169,0.3068,0.0086,0.3845,0.0029
08095,0.4332,0.5267,0.3972,0.6964,0.2171
08097,0.1458,0.1435,0.0933,0.4682,0.3138
08099,0.9612,0.8504,0.9634,0.8071,0.9605
08101,0.8587,0.7161,0.8673,0.8673,0.8243
08103,0.4812,0.5236,0.2864,0.4841,0.578
08105,0.9408,0.866,0.9701,0.8663,0.8081
08107,0.1066,0.2161,0.0105,0.3794,0.3234
08109,0.8052,0.936,0.8794,0.8036,0.2097
08111,0.4204,0.5878,0.169,0.6232,0.2976
08113,0.1595,0.2919,0.0229,0.4443,0.3014
08115,0.8125,0.7619,0.979,0.5691,0.4319
08117,0.1996,0.3631,0.0095,0.5363,0.4173
08119,0.1038,0.2715,0.0353,0.4271,0.1073
08121,0.2422,0.1082,0.3453,0.4233,0.5309
08123,0.6111,0.5633,0.5576,0.7342,0.5471
08125,0.4917,0.4682,0.712,0.6327,0.2759
09001,0.6184,0.5286,0.416,0.7826,0.7081
09003,0.5955,0.4102,0.5092,0.7934,0.7457
09005,0.1512,0.2403,0.15310000000000001,0.3908,0.1591
09007,0.1843,0.1458,0.175,0.4981,0.316
09009,0.6512,0.4879,0.4698,0.7718,0.8278
09011,0.3959,0.275,0.3912,0.6251,0.528
09013,0.1073,0.156,0.0099,0.4854,0.4249
09015,0.4799,0.4873,0.5038,0.5181,0.4227
10001,0.8444,0.6728,0.8829,0.7877,0.8434
10003,0.4733,0.3517,0.3546,0.8256,0.571
10005,0.4898,0.4341,0.5977,0.627,0.4099
11001,0.6502,0.4488,0.1276,0.9405,0.9726
12001,0.6334,0.6372,0.0423,0.789,0.9402
12003,0.437,0.4962,0.1502,0.5656,0.5506
12005,0.733,0.62,0.7171,0.6127,0.7626
12007,0.8982,0.9211,0.4459,0.6464,0.9793
12009,0.4707,0.5095,0.4838,0.6375,0.3106
12011,0.7826,0.7934,0.5086,0.944,0.6614
12013,0.7362,0.7969,0.2247,0.5891,0.8806
12015,0.6168,0.6022,0.6706,0.4901,0.5446
12017,0.5388,0.7167,0.5605,0.3908,0.2788
12019,0.3908,0.387,0.5681,0.6572,0.2059
12021,0.647,0.6356,0.4586,0.7651,0.5926
12023,0.8947,0.8682,0.6926,0.6595,0.9516
12027,0.994,0.9949,0.9395,0.8469,0.9456
12029,0.767,0.6181,0.4596,0.4822,0.9815
12031,0.7973,0.7231,0.6082,0.8654,0.8017
12033,0.7502,0.7244,0.4561,0.7514,0.7976
12035,0.3491,0.5341,0.5611,0.6327,0.0516
12037,0.9071,0.9717,0.5156,0.606,0.9227
12039,0.9726,0.8415,0.9516,0.9554,0.9809
12041,0.8157,0.5611,0.9586,0.43,0.9007
